Date,EnglandCases,ScotlandCases,WalesCases,NICases
9:00 06/03/2020,147,,,
7:00 07/03/2020,184,,,
9:00 08/03/2020,244,,,
9:00 09/03/2020,280,,,
9:00 10/03/2020,324,,,
9:00 11/03/2020,387,36,15,18
9:00 12/03/2020,491,60,19,20
9:00 13/03/2020,645,85,38,29
9:00 14/03/2020,925,121,60,34
9:00 15/03/2020,1099,153,94,45
9:00 16/03/2020,1196,171,124,52
9:00 17/03/2020,1557,195,136,62
9:00 18/03/2020,2182,227,149,68
9:00 19/03/2020,2756,266,170,77
9:00 20/03/2020,3384,322,191,86
9:00 21/03/2020,4257,373,280,108
9:00 22/03/2020,4792,416,347,128
9:00 23/03/2020,5585,499,418,148
9:00 24/03/2020,6843,584,478,172
9:00 25/03/2020,7973,719,628,209
9:00 26/03/2020,9782,894,741,241
9:00 27/03/2020,12288,1059,921,275
9:00 28/03/2020,14427,1245,1093,324
9:00 29/03/2020,16487,1384,1241,410
9:00 30/03/2020,18594,1563,1451,533
9:00 31/03/2020,21008,1993,1563,586
9:00 01/04/2020,24638,2310,1837,689
9:00 02/04/2020,28221,2602,2121,774
9:00 03/04/2020,31797,3001,2466,904
9:00 04/04/2020,34707,3345,2853,998
9:00 05/04/2020,39814,3706,3197,1089
