Date,EnglandCases,ScolandCases,WaleCases,NICases
9:00 06/03/2020,147,,,
7:00 07/03/2020,184,,,
9:00 08/03/2020,244,,,
9:00 09/03/2020,280,,,
9:00 10/03/2020,324,,,
9:00 11/03/2020,387,36,15,18
9:00 12/03/2020,491,60,19,20
9:00 13/03/2020,645,85,38,29
9:00 14/03/2020,925,121,60,34
9:00 15/03/2020,1099,153,94,45
9:00 16/03/2020,1196,171,124,52
9:00 17/03/2020,1557,195,136,62
9:00 18/03/2020,2182,227,149,68
9:00 19/03/2020,2756,266,170,77
9:00 20/03/2020,3384,322,191,86
9:00 21/03/2020,4257,373,280,108
